연도,빅데이터,인공지능,유전자기술,나노기술,사물인터넷,바이오센서,모바일,의료영상,신소재,클라우드,3D프린팅,웨어러블,로봇,가상/증강/혼합현실,블록체인
2021,22.0,13.8,11.0,7.0,8.1,8.2,7.9,5.7,7.9,5.3,4.3,5.0,3.4,2.1,1.2
2022,35.3,18.2,15.7,14.4,9.1,7.2,7.2,6.9,6.6,5.9,5.9,5.3,4.6,2.3,0.9
